Line #,Reward Date,Investment Amount (ETH),Reward Amount (ETH),Total Reward Amount to Date (ETH),"Yearly Staking Reward (annual, %)"
1,2023-02-17,10.0,0.066667,0.06667,8.0
2,2023-03-17,10.066667,0.067111,0.13378,8.0
3,2023-04-17,10.133778000000001,0.067559,0.20134000000000002,8.0
4,2023-05-17,10.201337,0.068009,0.26935000000000003,8.0
5,2023-06-17,10.269346,0.068462,0.33781000000000005,8.0
6,2023-07-17,10.337808,0.068919,0.40673000000000004,8.0
7,2023-08-17,10.406727,0.069378,0.47611000000000003,8.0
8,2023-09-17,10.476105,0.069841,0.54595,8.0
9,2023-10-17,10.545946,0.070306,0.61626,8.0
10,2023-11-17,10.616252000000001,0.070775,0.68704,8.0
11,2023-12-17,10.687027,0.071247,0.75829,8.0
12,2024-01-17,10.758274,0.071722,0.83001,8.0
13,2024-02-17,10.829996,0.0722,0.9022100000000001,8.0
14,2024-03-17,10.902196,0.072681,0.97489,8.0
15,2024-04-17,10.974877,0.073166,1.04806,8.0
16,2024-05-17,11.048043,0.073654,1.12171,8.0
17,2024-06-17,11.121697,0.074145,1.19586,8.0
18,2024-07-17,11.195841999999999,0.074639,1.2705,8.0
19,2024-08-17,11.270480999999998,0.075137,1.34564,8.0
20,2024-09-17,11.345617999999998,0.075637,1.4212799999999999,8.0
21,2024-10-17,11.421254999999999,0.076142,1.49742,8.0
22,2024-11-17,11.497397,0.076649,1.5740699999999999,8.0
23,2024-12-17,11.574046,0.07716,1.65123,8.0
24,2025-01-17,11.651205999999998,0.077675,1.7288999999999999,8.0
